🌙扉页,#genre#
2

五星体育,http://210.22.75.86:9901/tsfile/live/1010_1.m3u8

第一剧场,http://gmxw.7766.org:808/hls/98/index.m3u8

胶州生活,http://117.72.68.25:9930/qilu.php?id=qdjzsh

五禽戏演示,http://127.0.0.1:9978/file/tv/五禽戏.MP4

五禽戏陈静教学,http://127.0.0.1:9978/file/tv/五禽戏陈静教学.MP4


🎈央视HD,#genre#
山东卫视,http://150.138.8.132/00/SNM/CHANNEL10000301/index.m3u8
山东卫视,http://150.138.8.143/00/SNM/CHANNEL00000301/index.m3u8
QTV-1,http://150.138.8.143/00/SNM/CHANNEL00000500/index.m3u8
QTV-2,http://150.138.8.143/00/SNM/CHANNEL00000501/index.m3u8
胶州新闻,http://150.138.8.132/00/SNM/CHANNEL00001074/index.m3u8
胶州新闻,http://150.138.8.143/00/SNM/CHANNEL00001074/index.m3u8
胶州生活,http://117.72.68.25:9930/qilu.php?id=qdjzsh
CCTV1,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8
CCTV2,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8
CCTV3,http://150.138.8.143/00/SNM/CHANNEL00000359/index.m3u8
CCTV4,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8
CCTV5,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8
CCTV5+,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8
CCTV6,http://150.138.8.143/00/SNM/CHANNEL00000361/index.m3u8
CCTV7,http://150.138.8.143/00/SNM/CHANNEL00000318/index.m3u8
CCTV8,http://150.138.8.143/00/SNM/CHANNEL00000362/index.m3u8
CCTV9,http://150.138.8.143/00/SNM/CHANNEL00000319/index.m3u8
CCTV10,http://150.138.8.143/00/SNM/CHANNEL00000321/index.m3u8
CCTV11,http://150.138.8.143/00/SNM/CHANNEL00000344/index.m3u8
CCTV12,http://150.138.8.143/00/SNM/CHANNEL00000322/index.m3u8
CCTV13,http://150.138.8.143/00/SNM/CHANNEL00000345/index.m3u8
CCTV14,http://150.138.8.143/00/SNM/CHANNEL00000323/index.m3u8
CCTV15,http://150.138.8.143/00/SNM/CHANNEL00000346/index.m3u8

CCTV16,http://111.160.17.2:59901/tsfile/live/0001_17.m3u8
CCTV16,http://123.166.61.70:8003/hls/16/index.m3u8

CCTV16,http://150.138.8.143/00/SNM/CHANNEL00000364/index.m3u8

CCTV17,http://150.138.8.143/00/SNM/CHANNEL00000303/index.m3u8
CCTV4K,http://183.61.247.138/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024081303.m3u8
先锋乒羽,http://150.138.8.143/00/SNM/CHANNEL00000650/index.m3u8

